datetime,open,high,low,close,volume
2026-01-01T00:00:00Z,87699.89,87699.89,87696.27,87696.27,0.00182
2026-01-01T00:05:00Z,87696.27,87813.84,87510.74,87807.01,0.23993
2026-01-01T00:10:00Z,87803.92,87803.92,87797.27,87797.27,0.0031
2026-01-01T00:15:00Z,87797.27,87797.27,87797.27,87797.27,0.0
2026-01-01T00:20:00Z,87797.27,87797.27,87797.27,87797.27,0.0
2026-01-01T00:25:00Z,87783.77,87791.22,87783.74,87791.22,0.05967
2026-01-01T00:30:00Z,87789.44,87789.44,87789.42,87789.42,0.0001
2026-01-01T00:35:00Z,87784.93,87784.93,87782.46,87782.46,0.00197
2026-01-01T00:40:00Z,87882.79,87882.79,87882.79,87882.79,2e-05
2026-01-01T00:45:00Z,87870.74,87870.74,87870.74,87870.74,2e-05
2026-01-01T00:50:00Z,87596.68,87870.3,87596.67,87864.55,0.02566
2026-01-01T00:55:00Z,87862.08,87862.08,87861.79,87861.79,0.00039
2026-01-01T01:00:00Z,87859.33,87859.33,87623.86,87857.14,0.00848
2026-01-01T01:05:00Z,87857.14,87915.94,87629.17,87915.94,0.12964
2026-01-01T01:10:00Z,87915.92,87999.99,87664.17,87999.99,0.06301
2026-01-01T01:15:00Z,87999.99,87999.99,87999.99,87999.99,0.0
2026-01-01T01:20:00Z,87999.99,87999.99,87999.99,87999.99,0.0
2026-01-01T01:25:00Z,87999.99,87999.99,87999.99,87999.99,0.0
2026-01-01T01:30:00Z,87742.57,87742.57,87742.57,87742.57,0.1
2026-01-01T01:35:00Z,87849.98,87849.98,87798.0,87798.0,0.00105
2026-01-01T01:40:00Z,87747.23,87747.23,87747.23,87747.23,8e-05
2026-01-01T01:45:00Z,87748.8,87899.98,87748.8,87899.98,0.10064
2026-01-01T01:50:00Z,87900.0,87900.0,87900.0,87900.0,0.00025
2026-01-01T01:55:00Z,87900.0,87900.0,87900.0,87900.0,0.0
2026-01-01T02:00:00Z,87984.15,87984.15,87768.53,87983.18,0.00321
2026-01-01T02:05:00Z,87899.98,87949.99,87899.98,87949.97,0.08563
2026-01-01T02:10:00Z,87949.97,87950.0,87786.33,87950.0,0.0062
2026-01-01T02:15:00Z,87950.0,87992.0,87950.0,87992.0,0.53512
2026-01-01T02:20:00Z,87992.0,87992.0,87992.0,87992.0,0.0
2026-01-01T02:25:00Z,87998.61,87998.61,87811.14,87994.74,0.00076
2026-01-01T02:30:00Z,87818.91,87986.57,87818.91,87986.57,0.04443
2026-01-01T02:35:00Z,88000.0,88002.07,88000.0,88002.07,0.00051
2026-01-01T02:40:00Z,87999.0,87999.0,87997.51,87997.51,0.00016
2026-01-01T02:45:00Z,87841.32,87841.32,87841.28,87841.28,0.16238
2026-01-01T02:50:00Z,87841.28,87841.28,87841.28,87841.28,0.0
2026-01-01T02:55:00Z,87841.28,87841.28,87841.28,87841.28,0.0
2026-01-01T03:00:00Z,87999.8,87999.8,87843.68,87993.09,0.04959
2026-01-01T03:05:00Z,87843.86,87992.8,87843.86,87990.15,0.11723
2026-01-01T03:10:00Z,87984.92,87984.92,87979.96,87979.96,0.00496
2026-01-01T03:15:00Z,87978.95,88002.06,87854.31,88002.06,0.00668
2026-01-01T03:20:00Z,87858.62,87997.38,87858.62,87861.14,0.02534
